"","Club","Income","Total.Seasons","Never.Relgated","Founding.Club","Wages","Position"
"1","Arsenal",245,22,TRUE,TRUE,143,3
"2","Aston Villa",80,22,TRUE,TRUE,70,16
"3","Blackburn Rovers",54,18,FALSE,TRUE,50,19
"4","Bolton Wanderers",65,13,FALSE,FALSE,55,18
"5","Chelsea",261,22,TRUE,TRUE,173,6
"6","Everton",81,22,TRUE,TRUE,63,7
"7","Fulham",79,13,TRUE,FALSE,62,9
"8","Liverpool",169,22,TRUE,TRUE,119,8
"9","Manchester City",231,17,FALSE,FALSE,202,1
"10","Manchester United",320,22,TRUE,TRUE,162,2
"11","Newcastle United",93,20,FALSE,FALSE,64,5
"12","Norwich City",75,7,FALSE,TRUE,37,12
"13","Queens Park Rangers",64,6,FALSE,TRUE,58,17
"14","Stoke City",71,6,TRUE,FALSE,53,14
"15","Sunderland",78,13,FALSE,FALSE,64,13
"16","Swansea City",65,3,TRUE,FALSE,35,11
"17","Tottenham Hotspur",144,22,TRUE,TRUE,90,4
"18","West Bromwich Albion",67,8,FALSE,FALSE,50,10
"19","Wigan Athletic",53,8,FALSE,FALSE,38,15
"20","Wolverhampton Wanderers",60,4,FALSE,FALSE,38,20
